query,mode,total_weight,growbuffer_stack_percent,register_update_stack_percent,selective_claim_stack_percent,metrics_trace_stack_percent,static_getbuffer_stack_percent,mutex_stack_percent,unknown_stack_percent
q13,dynamic,345164464953,0.8169179789072295,0.8169179789072295,0.0,0.0,0.0,0.16197905223996048,79.39160039064683
q13,legacy,364361970543,0.0,0.0,0.0,0.0,0.0,0.1606670095475601,78.67561828332177
q13,selective-4,348035511899,0.5580819064704129,0.5580819064704129,0.0,0.0,0.0,0.2633807035949867,80.01817647901929
q13,selective-all,342829873971,0.8079357542319376,0.8079357542319376,0.010170340932117659,0.025881147687702832,0.0,0.27342256587571845,79.44868749828964
q13,selective-base,350931280323,0.5951658490168258,0.5951658490168258,0.007950043374395512,0.004998730516086825,0.0,0.3416156356585202,79.0614204933888
q13,selective-gate-cost,343417442555,0.7517064228869392,0.7517064228869392,0.019151784635827437,0.032737776847777386,0.0,0.26118887332181623,79.9081999936711
q13,selective-gate,345529985264,0.7583186946852206,0.7583186946852206,0.0,0.015489950303186142,0.0,0.23300062609179298,79.87504735547911
q13,static-locked,418298344551,0.0,0.0,0.0,0.0,0.004480170969865053,0.16589372179917727,82.05365046338419
q13,static-lockfree,416621024339,0.0,0.0,0.0,0.0,0.010685175831111502,0.17837429764353685,82.1398655699012
q14,dynamic,402809803143,0.5907822271036391,0.5990422711096158,0.0,0.0,0.0,0.1871771826596625,80.18415961895958
q14,legacy,418749546331,0.0,0.0,0.0,0.0,0.0,0.12912537977356875,79.98721163013329
q14,selective-4,411090828744,0.5340657731790968,0.5432059170044407,0.006833153900763102,0.0,0.0,0.2420071012140089,80.1773172892295
q14,selective-all,400929167364,0.711264985720282,0.7240355494925892,0.02516677638182231,0.02211432896811517,0.0,0.2809337211371806,80.2874849007315
q14,selective-base,405381300758,0.5438198485913991,0.5679620428211286,0.01960039988312953,0.003290850361142794,0.0,0.34161709418035374,80.63116355732635
q14,selective-gate-cost,397860501557,0.6674115408813899,0.7217278962758797,0.03119652981742848,0.017103039314962324,0.0,0.24080119671360323,80.73023070926375
q14,selective-gate,400669616111,0.7092909486335213,0.7460407881719423,0.011588650632080023,0.01231369462922584,0.0,0.23424207408329942,80.37321870290901
q14,static-locked,473017757946,0.0,0.0,0.0,0.0,0.0028256123106324966,0.20384980834273012,82.67495001543779
q14,static-lockfree,474176161354,0.0,0.0,0.0,0.0,0.011037388900056417,0.17209334747446098,82.10221023750668
q15,dynamic,357906381794,0.7760960900101407,0.7760960900101407,0.0,0.0,0.0,0.16144957742960453,84.70582597308757
q15,legacy,367497921932,0.0,0.0,0.0,0.0,0.0,0.17641106447398075,84.09734927757937
q15,selective-4,360467470751,0.6047728308072171,0.6170092281465123,0.0,0.0,0.0,0.2296058885079588,84.3022179168873
q15,selective-all,355803657721,0.6883949588063599,0.6898229151777315,0.03158527844256254,0.03373852696425355,0.0,0.298538952298496,85.05661493432649
q15,selective-base,359425891441,0.644492479858049,0.6757960013013474,0.0280290945641397,0.023881566143125258,0.0,0.27488371665127564,84.55433113417959
q15,selective-gate-cost,361289711589,0.8938522311628216,0.9062622086855154,0.00783215272739074,0.00916345772881067,0.0,0.2959025548494333,85.11548822204621
q15,selective-gate,357473413779,0.8050656767944133,0.8189244486891613,0.010161494421640235,0.004925815549149077,0.0,0.2934234190765487,84.77559450403047
q15,static-locked,428901040566,0.0,0.0,0.0,0.0,0.004201959961723783,0.08089002268265949,85.67629807450972
q15,static-lockfree,425303542489,0.0,0.0,0.0,0.0,0.009969205464846701,0.14895319171163143,85.56259146475647
q16,dynamic,118909777166,0.0,0.0,0.0,0.0,0.0,0.16387573809676415,84.11660684164468
q16,legacy,118005746715,0.0,0.0,0.0,0.0,0.0,0.05193632997214834,84.87799724440734
q16,selective-4,120242600517,0.0,0.0,0.0,0.0,0.0,0.5027921530310926,84.47682533333013
q16,selective-all,120240885763,0.0,0.0,0.08083259232768232,0.052528316470066685,0.0,0.4207401806712853,84.9404844699073
q16,selective-base,122253739194,0.0,0.0,0.08755763030702741,0.09578697451059004,0.0,0.2995831427444593,84.88679254408703
q16,selective-gate-cost,119103626992,0.0,0.0,0.12400512455420053,0.10320979142663454,0.0,0.33878069811182365,85.10573767397399
q16,selective-gate,119650241917,0.0,0.0,0.08744790342553738,0.0790088256282652,0.0,0.5178669654757819,85.78287080622853
q16,static-locked,177728250093,0.0,0.0,0.0,0.0,0.0,0.010197933637739595,90.52023156634704
q16,static-lockfree,175589616870,0.0,0.0,0.0,0.0,0.009518169296065849,0.04093803396884193,89.66183665550133
q17,dynamic,519175264524,0.5320563319850355,0.5408711903049824,0.0,0.0,0.0,0.2024917801050982,78.95021810983292
q17,legacy,544724363550,0.0,0.0,0.0,0.0,0.0,0.2275992329258466,78.53983342544767
q17,selective-4,521007142162,0.4070920813481883,0.41040080201724966,0.0,0.0,0.0,0.2414482662905327,78.89031936479628
q17,selective-all,515431356035,0.5362078318751581,0.5362078318751581,0.0068688973973861,0.003468249028835978,0.0,0.27693535216415366,78.95763214129425
q17,selective-base,517460887027,0.4018385385505482,0.4018385385505482,0.017780774026926443,0.010732955744556998,0.0,0.248126947019477,78.65235821017016
q17,selective-gate-cost,515750496602,0.5424126075362371,0.5511984592801604,0.018226383031976216,0.02016066599742694,0.0,0.20790665662266314,78.79026127968719
q17,selective-gate,517322357927,0.5273409291513665,0.5410268982410672,0.008497187165106624,0.0,0.0,0.2314581314053634,79.1142187233194
q17,static-locked,600602547386,0.0,0.0,0.0,0.0,0.013118021617275032,0.15520532522831734,80.68736694111068
q17,static-lockfree,599922775951,0.0,0.0,0.0,0.0,0.027651019539479696,0.166732498597736,80.74991299089592
q18,dynamic,463527638783,0.6631139707375588,0.6702979389012327,0.0,0.0,0.0,0.2050899688518995,81.29370972469829
q18,legacy,489359942743,0.0,0.0,0.0,0.0,0.0,0.12422717899475966,80.6278789206524
q18,selective-4,469195789745,0.43894568664380207,0.45913291787438865,0.0,0.0,0.0,0.23117221013204087,81.09612526356963
q18,selective-all,455864746200,0.657045477187637,0.6926074194855123,0.007928748011618013,0.010735601383514048,0.0,0.32125536537047533,81.40605986521885
q18,selective-base,465649725525,0.45974364283933505,0.4855205071689922,0.013540763269840005,0.025911258911183913,0.0,0.26636037111406174,81.19065756277405
q18,selective-gate-cost,463508682367,0.5609109712299751,0.571292175472855,0.002695493844084573,0.0,0.0,0.23466329356453905,81.50383678161198
q18,selective-gate,461424169387,0.5721450526762066,0.6025748654852181,0.026476673981404575,0.0204125089773968,0.0,0.16932363838633635,81.03593087326792
q18,static-locked,546284162542,0.0,0.0,0.0,0.0,0.007321236042043427,0.1405826644188967,82.75436210458383
q18,static-lockfree,546281363675,0.0,0.0,0.0,0.0,0.012631084380365394,0.13047028956016674,82.52983766351252
q19,dynamic,1149970485795,0.23360133926766558,0.23812580816862441,0.0,0.0,0.0,0.14188886237997522,75.67396598438715
q19,legacy,1182626383706,0.0,0.0,0.0,0.0,0.0,0.1641909229113496,73.86143567385122
q19,selective-4,1225165261717,0.19193689026935384,0.20876011775061176,0.0,0.0,0.0,0.40896560150408284,75.77038266225591
q19,selective-all,1190909948615,0.24284693409131647,0.24596160594733196,0.0072974361412522825,0.005063614093587097,0.0,0.28366995530844535,76.53994417042853
q19,selective-base,1180685972459,0.1851046909152546,0.19220192141977893,0.002661225315869593,0.003964068015691214,0.0,0.21242737641545878,75.77723796316795
q19,selective-gate-cost,1217131738159,0.22939519038614223,0.2308555835747124,0.013452102666195625,0.009391341004129477,0.0,0.31904417510906447,76.28383068191002
q19,selective-gate,1189843518266,0.21662522864824119,0.2292345004303529,0.015080053573892483,0.012047676505302706,0.0,0.18758971425526658,76.03678400378882
q19,static-locked,1292355652468,0.0,0.0,0.0,0.0,0.009018449432044861,0.2671052532178617,76.260968536941
q19,static-lockfree,1274232657730,0.0,0.0,0.0,0.0,0.0198550922757474,0.22480073679032656,75.3279541584615
q20,dynamic,27293456289,0.0,0.0,0.0,0.0,0.0,0.054607495812125574,80.31682700748622
q20,legacy,27397486990,0.0,0.0,0.0,0.0,0.0,0.07752068285588408,84.48570485843672
q20,selective-4,26925771549,0.0,0.0,0.0,0.0,0.0,0.3529043460354585,83.29931894498671
q20,selective-all,27556667821,0.0,0.0,0.1410156817668162,0.10766905923723295,0.0,0.08630958269154367,84.36726553448844
q20,selective-base,27934726549,0.0,0.0,0.4663532852970187,0.29960586101744413,0.0,0.24408112920096156,83.94236133247355
q20,selective-gate-cost,28001470729,0.0,0.0,0.16759188991954752,0.16922789327249127,0.0,0.07240821454067989,82.30990350849724
q20,selective-gate,27390169361,0.0,0.0,0.15728527426099548,0.26942310588657775,0.0,0.08370784312362106,81.86767083276379
q20,static-locked,87267305248,0.0,0.0,0.0,0.0,0.02620065090244552,0.05355784261605942,94.47320199553138
q20,static-lockfree,84444431239,0.0,0.0,0.0,0.0,0.04817631477066689,0.008013498226837171,94.60892701957417
q21,dynamic,373782798017,6.3035720503992785,6.324700708116803,0.0,0.0,0.0,0.0003132824747988381,50.89919629028705
q21,legacy,415130660024,0.0,0.0,0.0,0.0,0.0,0.015784061335342426,54.98304868154139
q21,selective-4,378461650429,3.8695880566497207,3.8788795143073562,0.0,0.0,0.0,0.09116202886313973,51.312148321466886
