query,mode,repeats,transfers,executed_bytes_cv,executed_files_cv,executed_bytes_max_min,peak_buffer_cv,queue_wait_p50_ms,queue_wait_p95_ms,queue_wait_max_ms,enqueue_demand_p50_mib,enqueue_demand_p95_mib,max_total_queue_mib,max_total_queue_depth,adaptive_limit_changes
q11,selective-all,3,0.0,0.036942377492881553,0.03693833940459086,1.227607857008633,0.005226853509803706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
q11,selective-base,3,550.0,0.03508182776385304,0.03476781945321348,1.2249823145345533,0.007367818998927465,5.446183,24.642960499999987,53.862235,1.86328125,1.89453125,44.71875,24.0,0.0
q11,selective-gate,3,0.0,0.0526222130478796,0.05254160367925117,1.2659193396937274,0.00523059116859867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q11,selective-gate-cost,3,0.0,0.0396661443036638,0.03964025854678864,1.2244045321405055,0.004909852104234297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q12,selective-all,3,0.0,0.040495917269808515,0.040621243816736465,1.237264271695537,0.0036241796414600395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
q12,selective-base,3,588.0,0.037211070056822594,0.03671459417971619,1.2415627678325976,0.0055060373280633205,6.031842,26.351125,63.646966,2.4609375,2.49609375,95.1328125,39.0,0.0
q12,selective-gate,3,0.0,0.04430005773137587,0.04421488499009694,1.2025841428375974,0.003852957387717512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q12,selective-gate-cost,3,0.0,0.040185237756123364,0.040179346470699345,1.2550665216299892,0.003707154801315643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q13,selective-all,3,0.0,0.0994658692477393,0.10454164279427122,1.5565024366596076,0.04178691496921407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
q13,selective-base,3,577.0,0.09607845186004824,0.1313905961990098,1.526216989324207,0.06279489191656028,22.72834,234.4883791,512.10852,4.375,5.65625,149.76171875,47.0,0.0
q13,selective-gate,3,0.0,0.1030047642530781,0.11622390290068885,1.5585998293087002,0.048556633455623124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q13,selective-gate-cost,3,0.0,0.1164459918512464,0.12630302297760432,1.5460749068566573,0.04425789689151836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q14,selective-all,3,0.0,0.0867574159468031,0.09227022241932929,1.5210692338595682,0.0366430918208511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
q14,selective-base,3,576.0,0.11306905703480716,0.14744632067457208,1.6316435366305646,0.04819288519589437,28.01782,214.55160525,395.70666,5.65625,6.8515625,207.046875,46.0,0.0
q14,selective-gate,3,0.0,0.09610157651387517,0.1004916502866967,1.5979516748634082,0.04002240282184663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q14,selective-gate-cost,3,0.0,0.09103392904708023,0.09542130060618016,1.438290817287765,0.036483119618759004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q15,selective-all,3,0.0,0.10626069267868217,0.10909282798235409,1.5336683224334018,0.039100664174326616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
